Key,Value,,,,,,,,,,
Title,,,,,,,,,,,
Subtitle,,,,,,,,,,,
Code,,,,,,,,,,,
Series,,,,,,,,,,,
Venue,,,,,,,,,,,
Teachers,,,,,,,,,,,
Start date,,,,,,,,,,,
End date,,,,,,,,,,,
Format,,,,,,,,,,,
Medium,,,,,,,,,,,
Tags,,,,,,,,,,,
Website,,,,,,,,,,,
Sessions,0,,,,,,,,,,
Questions,0,,,,,,,,,,
Answers listened to,0,,,,,,,,,,
Tags applied,0,,,,,,,,,,
Invalid tags,0,,,,,,,,,,
Duration,0:00,,,,,,,,,,
<---->,,,,,,,,,,,
Session #,Date,Filename,Duration,Session title,external mp3 URL,Questions,Tags,Tags 2,Tags 3,Teachers,Seconds
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
<---->,,,,,,,,,,,
Session #,Start time,End time,Teachers,Question text,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,AListen?