Key,Value,,,,,,,,,,,
Title,The Teaching and the Training,,,,,,,,,,,
Subtitle,Eleven interviews with Ajahn Pasanno,,,,,,,,,,,
Code,Interview2018,,,,,,,,,,,
Series,Interviews,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,
Start date,12/3/2018,,,,,,,,,,,
End date,29/3/2018,,,,,,,,,,,
Format,Interview,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,
Tags,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/1/104-readings-from-all-traditions-ajahn-chah-biography-and-vinaya-winter-retreat-2018,,,,,,,,,,,
Description,Tan Suhajjo asks Ajahn Pasanno questions related to monastic life in March of 2018.,,,,,,,,,,,
Sessions,11,,,,,,,,,,,
Questions,5,,,,,,,,,,,
Answers listened to,5,,,,,,,,,,,
Tags applied,15,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,
Duration,6:44:55,,,,,,,,,,,
<---->,,,,,,,,,,,,
Session #,Date,Filename,Duration,Session title,Remote mp3 URL,Questions,Tags,Tags 2,Tags 3,Teachers,Exclude?,Seconds
1,12/3/2018,2018-03-12 The Teaching and The Training.mp3,34:08,The Teaching and The Training,https://www.abhayagiri.org/media/audio/youtube/5Vha7iWYdvs.mp3,5,Monastic life,Dhamma,Vinaya,AP,,2048
2,13/3/2018,"2018-03-13 Celibacy, Symbol, and the Transcendent.mp3",31:57,"Celibacy, Symbol, and the Transcendent",https://www.abhayagiri.org/media/audio/youtube/Ft54dOcz9vw.mp3,0,,,,AP,,1917
3,19/3/2018,2018-03-19 From Restraint to Confidence.mp3,35:46,From Restraint to Confidence,https://www.abhayagiri.org/media/audio/youtube/cWs21TyATEs.mp3,0,,,,AP,,2146
4,20/3/2018,2018-03-20 The Monastic Form in the West.mp3,44:03,The Monastic Form in the West,https://www.abhayagiri.org/media/audio/youtube/7iFqaCgij4c.mp3,0,,,,AP,,2643
5,21/3/2018,2018-03-21 Being Your Own Refuge.mp3,30:09,Being Your Own Refuge,https://www.abhayagiri.org/media/audio/youtube/8whOdY0M4XM.mp3,0,,,,AP,,1809
6,22/3/2018,"2018-03-22 Caring for Monks in Aging, Sickness, and Death.mp3",49:17,"Caring for Monks in Aging, Sickness, and Death",https://www.abhayagiri.org/media/audio/youtube/npbW0Zu0JMQ.mp3,0,,,,AP,,2957
7,23/3/2018,"2018-03-23 Serving, Bowing, Images.mp3",42:26,"Serving, Bowing, Images",https://www.abhayagiri.org/media/audio/youtube/_8H8qggqT7E.mp3,0,,,,AP,,2546
8,26/3/2018,2018-03-26 The Role of Community.mp3,49:02,The Role of Community,https://www.abhayagiri.org/media/audio/youtube/W0_GGY3gHCw.mp3,0,,,,AP,,2942
9,27/3/2018,"2018-03-27 Dhutangas, The Ascetic Practices.mp3",40:58,"Dhutangas, The Ascetic Practices",https://www.abhayagiri.org/media/audio/youtube/YEZ_GvUyuF4.mp3,0,,,,AP,,2458
10,28/3/2018,2018-03-28 The Relationship Between Study and Practice.mp3,47:09,The Relationship Between Study and Practice,https://www.abhayagiri.org/media/audio/youtube/OahWzxjuBqU.mp3,0,,,,AP,,2829
11,29/3/2018,"2018-03-29 Foundations, Community, Rebirth, Nibbana.mp3",35:27,"Foundations, Community, Rebirth, Nibbana",https://www.abhayagiri.org/media/audio/youtube/fU74K9IEaa4.mp3,0,,,,AP,,2127
<---->,,,,,,,,,,,,
Session #,Start time,End time,Teachers,Question text,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,AListen?,Exclude?
1,0:00,,,The Buddha described his teaching as Dhamma-vinaya. Can you explain why it wasn't just Dhamma? What does this term mean?,Middle Path,Recollection/Buddha,,,,,Yes,
1,4:51,,,"In order to come to the training as Westerners, we often had to not follow cultural traditions and authorities. Monastic life has so many rules and the traditions are well established. How do we switch gears?",Recollection/Dhamma,Western Buddhist monasticism,Attachment to rites and rituals,Faith,,,Yes,
1,11:55,,,How do we expand our faith into other aspects of training?,Faith,Dependent origination,Recollection/Buddha,Ajahn Chah,Ajahn Liem,,Yes,
1,23:27,28:14,,Is vinaya about taking responsibility for your actions and mental states and how that affects other people?,Dependent origination,Recollection/Buddha,,,,,Yes,
1,28:22,,,Can you talk about skillful means to become more sensitive to the nuances of monastic training?,Four requisites,Respect for elders,,,,,Yes,