Full Name,Alphabetize,Alphabetize2,Sort by,Exact date,Known month,Known year,Estimated year,First names
,,,,,,,,
Abhayagiri Saṅgha,,,1996.18,,,1996,,
Amaravati Saṅgha,,,1984.18,,,1984,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ajahn Mun,,,1893.18,,,1893,,
Ajahn Chah,,,1939.106,16 Apr 1939,,,,
Ajahn Lee Dhammadharo,,,1925.136,,May 1925,,,
Ajahn Mahā Boowa,,,,,,,,
Ajahn Tong Jan,,,,,,,,
Bhikkhu Ñāṇamoli,,,,,,,,
,,,,,,,,
P. A. Payutto,"Payutto, P. A.",,,,,,,
,,,,,,,,
Piyadasi Thera,,,,,,,,
Ajahn Sīlaratano,,,,,,,,
,,,,,,,,
,,,,,,,,
Ajahn Liem,,,,,,,,
Ajahn Pasanno,,,,,,,,
Ajahn Ṭhānissaro,,,,,,,,
Ajahn Amaro,,,,,,,,
Ajahn Jayasaro,,,,,,,,
Ajahn Yatiko,,,,,,,,
Ajahn Karuṇadhammo,,,,,,,,
Ajahn Jotipālo,,,,,,,,
Ajahn Ñāniko,,,,,,,,
Ajahn Kassapo,,,,,,,,
Ajahn Cunda,,,,,,,,
Ajahn Kaccāna,,,,,,,,
Ajahn Kovilo,,,,,,,,
Tan Jāgaro,,,,,,,,
Tan Suhajjo,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Upasikā Kee Nanayon,,,,,,,,
I. B. Horner,"Horner, I. B.",,,,,,,
Debbie Stamp,"Stamp, Debbie",,,,,,,
Beth Steff,"Steff, Beth",,,,,,,
Jack Kornfield,"Kornfield, Jack",,,,,,,
Jeed Chaiboonruang,"Chaiboonruang, Jeed",,,,,,,
Rik Center,"Center, Rik",,,,,,,
Jeanne Daskais,"Daskais, Jeanne",,,,,,,
Manijeh Motaghy,"Motaghy, Manijeh",,,,,,,
George Sharp,"Sharp, George",,,,,,,
Gail Kappel,"Kappel, Gail",,,,,,,
S. N. Goenka,"Goenka, S. N.",,,,,,,
Ram Dass,,,,,,,,
,,,,,,,,
Paul Brieter,"Brieter, Paul",,,,,,,
Joseph Kappel,"Kappel, Joseph",,,,,,,