Modified:,2024,,,,,,,
Tag,Flags,Display as,Related,Key topic,Topic code,Short note,Long note,
Impermanence,,,,The Human Dillema,human,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Suffering,,,,,,,,
Fear,,,,,,,,
Sickness,,,,,,,,
Ageing,,,,,,,,
Death,,,,,,,,
Recollection/Death,+,,,,,,,
Grief,,,,,,,,
,,,,,,,,
Three Refuges,,,,The Three Refuges,refuges,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Buddha,,,,,,,,
Recollection/Buddha,+,,,,,,,
Buddho mantra,+,,,,,,,
Dhamma,,,,,,,,
Recollection/Dhamma,+,,,,,,,
Saṅgha,,,Communal harmony,,,,,
Recollection/Saṅgha,+,,,,,,,
,,,,,,,,
Spiritual friendship,,,,Foundations of Dhamma Practice,foundations,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Association with people of integrity,+,,,,,,,
Generosity,,,,,,,,
Recollection/Generosity,+,,,,,,,
Goodwill,,,,,,,,
Virtue,,,,,,,,
Recollection/Virtue,+,,,,,,,
Precepts,,,Right Speech;Right Action,,,,,
Five Precepts,+,,,,,,,
Eight Precepts,+,,,,,,,
Renunciation,,,,,,,,
,,,,,,,,
Four Noble Truths,,,,The Four Noble Truths,truths,The Fourth Noble Truth of the Path to the Cessation of Suffering is equivalent to the Noble Eightfold Path below.,The Fourth Noble Truth of the Path to the Cessation of Suffering is equivalent to the [Noble Eightfold Path](topic:path).<br>This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Noble Truth of Suffering,,Suffering,,,,,,
Cause of Suffering,,,,,,,,
Cessation of Suffering,,,,,,,,
,,,,,,,,
Eightfold Path,,,,The Noble Eightfold Path,path,"For Right Intention, see [Renunciation](cluster:), [Non-ill-will](cluster:Goodwill), and [Non-cruelty](cluster:Compassion).",This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Middle Path,+,,,,,,,
Right View,,,,,,,,
Right Speech,,,,,,,,
False speech,+,,,,,,,
Malicious speech,+,,,,,,,
Harsh speech,+,,,,,,,
Idle chatter,+,,,,,,,
Admonishment/feedback,+,,,,,,,
Right Action,,,,,,,,
Killing,+,,,,,,,
Stealing,+,,,,,,,
Sexual misconduct,+,,,,,,,
Right Livelihood,,,,,,,,
Right Effort,,,,,,,,
Right Mindfulness,,,Mindfulness,,,,,Mindfulness
Ardency,+,,,,,,,
Clear comprehension,+,,,,,,,
Right Concentration,,,Concentration,,,,,Concentration
Rapture,+,,,,,,,
Unification,+,,,,,,,
Jhāna,+,,,,,,,
,,,,,,,,
Meditation,,,,Meditation Practices,meditation,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Meditation/General advice,+,,,,,,,
Mindfulness of body,,,,,,,,
Mindfulness of breathing,,,,,,,,
Posture/Walking,,Walking meditation,,,,,,
Chanting,,,,,,,,
Recollection,,,,,,,,
Directed thought and evaluation,,Skillful thinking,,,,,,
Continuity of mindfulness,,,,,,,,
Present moment awareness,+,,,,,,,
Direct experience,,,,,,,,
Knowing itself,,,,,,,,
Long-term practice,,,,,,,,
,,,,,,,,
Faith,,,,Skillful Qualities,skillful,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Energy,,,Right Effort,,,,,
Devotion to wakefulness,+,,,,,,,
Mindfulness,,,,,,,,
Concentration,,,,,,,,
Discernment,,,,,,,,
Appropriate attention,+,,,,,,,
Investigation of states,+,,,,,,,
Desire,,Skillful desire,,,,,,
Patience,,,,,,,,
Happiness,,,,,,,,
Gratitude,,,,,,,,
Compassion,,,,,,,,
Equanimity,,,,,,,,
,,,,,,,,
Unwholesome Roots,,Defilements,,Unskillful Qualities,unskillful,"[Ignorance](cluster:), [Craving](cluster:), [Clinging](cluster:), and [Becoming](cluster:) appear in Dependent Origination below.",This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Unskillful qualities,+,,,,,,,
Hindrances,,,,,,,,
Sensual desire,,,,,,,,
Greed,+,,,,,,,
Aversion,,Aversion and Ill-will,,,,,,
Ill-will,+,,,,,,,
Sloth and torpor,,,,,,,,
Restlessness and worry,,,,,,,,
Doubt,,,,,,,,
Delusion,,,,,,,,
Proliferation,,,,,,,,
Self-identity view,,,,,,,,
Conceit,,Conceit and guilt,,,,,,
Guilt/shame/inadequacy,+,,,,,,,
Judgementalism,+,,,,,,,
Perfectionism,+,,,,,,,
Jealousy,-,,,,,,,
Competitiveness,-,,,,,,,
Selfishness,+,,,,,,,
Self-pity,-,,,,,,,
,,,,,,,,
Dependent origination,,,,Dependent Origination,origination,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Ignorance,,,,,,,,
Volitional formations,,,,,,,,
Consciousness,,,,,,,,
Aggregates,,Name and form,,,,,,
Sense bases,,,,,,,,
Contact,,,,,,,,
Feeling,,,,,,,,
Craving,,,,,,,,
Clinging,,,,,,,,
Becoming,,,,,,,,
,,,,,,,,
Conditionality,,,,Buddhist Perspectives on the World,perspectives,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Kamma,,,,,,,,
Rebirth,,,,,,,,
Not-self,,,,,,,,
Nature of mind,,,,,,,,
Realms of existence,,Other realms,,,,,,
Deva,+,,,,,,,
Ghost,+,,,,,,,
Animal,+,,,,,,,
Hell,+,,,,,,,
Non-human beings,-,,,,,,,
,,,,,,,,
Dispassion,,,Cessation of Suffering,Fruits of the Practice,fruits,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Disenchantment,+,,,,,,,
Cessation,+,,,,,,,
Relinquishment,,,,,,,,
Liberation,,,,,,,,
Release,+,,,,,,,
Stages of awakening,,,,,,,,
Stream entry,+,,,,,,,
Once return,+,,,,,,,
Non-return,+,,,,,,,
Arahant,+,,,,,,,
Nibbāna,,,,,,,,
Deathless,+,,,,,,,
Unestablished consciousness,+,,,,,,,
Unconditioned,+,,,,,,,
,,,,,,,,
Buddha/Biography,,The Buddha,,Teachers,teachers,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Ajahn Mun,,,,,,,,
Ajahn Chah,,,,,,,,
Ajahn Sumedho,,,,,,,,
Ajahn Pasanno,,,,,,,,
Teaching Dhamma,,,,,,,,
,,,,,,,,
Wat Pah Pong,,,,Monasteries,monasteries,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Wat Pah Nanachat,,,,,,,,
Abhayagiri,,,,,,,,
,,,,,,,,
Culture/Natural environment,,Natural environment,,Context of the Teachings,context,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Language,,,,,,,,
Pāli,+,,,,,,,
Translation,+,,,,,,,
Culture/Thailand,,Thai culture,,,,,,
Thai,+,,,,,,,
History/Thai Buddhism,+,,,,,,,
Culture/West,,Western culture,,,,,,
,,,,,,,,
Monastic life,,,,Monastic Life,monastic,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Ordination,+,,,,,,,
Sequence of training,+,,,,,,,
Dependence,-,,,,,,,
Monastic routine,-,,,,,,,
Perception of a samaṇa,+,,,,,,,
Monastic life/Motivation,,Motivation,,,,,,
Mutual lay/Saṅgha support,,Mutual support,,,,,,
Almsround,+,,,,,,,
Requisites,,The Four Requisites,,,,,,
Robes,+,,,,,,,
Almsfood,+,,,,,,,
Lodging,+,,,,,,,
Medicinal requisites,+,,,,,,,
Monastic crafts,-,,,,,,,
Thai Forest Tradition,,,,,,,,
Vinaya,,,,,,,,
Pāṭimokkha,+,,,,,,,
Confession,-,,,,,,,
Protocols,+,,,,,,,
Not handling money,+,,,,,,,
Rains retreat,+,,,,,,,
Communal harmony,,Monastic community,Saṅgha,,,,,
Fourfold Assembly,+,,,,,,,
Principles of Cordiality,+,,,,,,,
Saṅgha decision making,+,,,,,,,
Abbot,+,,,,,,,
Monastery organizational structure,-,,,,,,,
Ascetic practices,,,,,,,,
Tudong,+,,,,,,,
Fasting,-,,,,,,,
Sitter's practice,-,,,,,,,
,,,,,,,,
Everyday life,,,,Everyday Life Practice,everyday,,This page needs more featured excerpts with these tags to be complete. Please help suggest featured excerpts.,
Lay life,+,,,,,,,
Health,,,,,,,,
Excercise,-,,,,,,,
Smoking,-,,,,,,,
Mental illness,-,,,,,,,
Health care,+,,,,,,,
Pandemic,-,,,,,,,
Family,,,,,,,,
Parents,+,,,,,,,
Children,+,,,,,,,
Relationships,,,,,,,,
Work,,,,,,,,
Retirement,+,,,,,,,
Environment,,,,,,,,
Politics and society,,,,,,,,
Leadership,+,,,,,,,
Service,-,,,,,,,
Activism,+,,,,,,,
Non-profit organizations,-,,,,,,,
Corruption,-,,,,,,,
Crime,-,,,,,,,
Discrimination,-,,,,,,,
Conflict,+,,,,,,,
Military,-,,,,,,,
Commerce/economics,,Commerce and economics,,,,,,
Poverty,+,,,,,,,
Technology,,Technology and media,,,,,,
Industry,-,,,,,,,
Science,+,,,,,,,
Media,+,,,,,,,
News,-,,,,,,,
Advertizing,-,,,,,,,
Internet,-,,,,,,,
Social media,-,,,,,,,
Online community,-,,,,,,,